Date,pv,load,import_price
2025-04-24 00:00:00,0.0,0.9255870013766818,0.34117
2025-04-24 00:15:00,0.0,0.8356512222290036,0.34117
2025-04-24 00:30:00,0.0,0.7971395566304523,0.34117
2025-04-24 00:45:00,0.0,0.7908945547315805,0.34117
2025-04-24 01:00:00,0.0,0.576823441738552,0.3353
2025-04-24 01:15:00,0.0,0.9366105570475264,0.3353
2025-04-24 01:30:00,0.0,0.9768806666056318,0.3353
2025-04-24 01:45:00,0.0,0.97811211174859,0.3353
2025-04-24 02:00:00,0.0,0.9637592235141332,0.3337
2025-04-24 02:15:00,0.0,0.3694403329637317,0.3337
2025-04-24 02:30:00,0.0,0.2394387786017527,0.3337
2025-04-24 02:45:00,0.0,0.4215614451090497,0.3337
2025-04-24 03:00:00,0.0,0.820286999511718,0.33265
2025-04-24 03:15:00,0.0,0.923460557217068,0.33265
2025-04-24 03:30:00,0.0,0.9177973337809244,0.33265
2025-04-24 03:45:00,0.0,0.6376922201368542,0.33265
2025-04-24 04:00:00,0.0,0.6013541134304468,0.33135
2025-04-24 04:15:00,0.0108706896551724,0.8279600006103509,0.33135
2025-04-24 04:30:00,0.0315689655172413,0.9475990016513396,0.33135
2025-04-24 04:45:00,0.0724080459770115,0.9530139987521704,0.33135
2025-04-24 05:00:00,0.113051724137931,0.9735285554673936,0.33793
2025-04-24 05:15:00,0.1619942528735632,1.051383220587836,0.33793
2025-04-24 05:30:00,0.2366810344827587,0.7787867780049645,0.33793
2025-04-24 05:45:00,0.5800028735632184,0.961150558810764,0.33793
2025-04-24 06:00:00,0.5456637931034484,0.8885815560234919,0.35734
2025-04-24 06:15:00,0.9865373563218393,0.8832571119520398,0.35734
2025-04-24 06:30:00,0.9810258620689656,0.8470305541992188,0.35734
2025-04-24 06:45:00,0.7470574712643678,1.850424659898545,0.35734
2025-04-24 07:00:00,0.8685086206896552,3.984544333224829,0.36551
2025-04-24 07:15:00,1.388221264367816,1.104798003133138,0.36551
2025-04-24 07:30:00,1.759252873563218,1.736371558803979,0.36551
2025-04-24 07:45:00,1.872448275862069,2.181378786214196,0.36551
2025-04-24 08:00:00,2.159951149425288,0.4029165553622769,0.36465
2025-04-24 08:15:00,2.409212643678161,0.4925421108669698,0.36465
2025-04-24 08:30:00,2.110738505747127,0.7873052269829622,0.36465
2025-04-24 08:45:00,2.583129310344828,0.4716962194654671,0.36465
2025-04-24 09:00:00,2.589204022988506,0.4477992217169869,0.35591
2025-04-24 09:15:00,2.745827586206897,0.5521484455532499,0.35591
2025-04-24 09:30:00,2.835626436781609,1.039269891018337,0.35591
2025-04-24 09:45:00,2.898856321839081,1.106584110005697,0.35591
2025-04-24 10:00:00,2.984402298850575,3.037610228474937,0.34367
2025-04-24 10:15:00,3.005770114942528,1.389722995842826,0.34367
2025-04-24 10:30:00,3.045436781609196,0.7062434460110124,0.34367
2025-04-24 10:45:00,3.041991379310345,0.5430573315938317,0.34367
2025-04-24 11:00:00,3.064658045977012,0.7211670024447965,0.34055
2025-04-24 11:15:00,3.077390804597702,0.6046063333299404,0.34055
2025-04-24 11:30:00,3.058002873563218,0.7464507792154942,0.34055
2025-04-24 11:45:00,3.042287356321839,0.3819256657070584,0.34055
2025-04-24 12:00:00,2.995158045977012,0.2378932219611281,0.32856
2025-04-24 12:15:00,2.951528735632184,0.2098908894009066,0.32856
2025-04-24 12:30:00,2.937669540229885,0.306561667039659,0.32856
2025-04-24 12:45:00,2.861037356321839,0.2565593335469562,0.32856
2025-04-24 13:00:00,2.799270114942529,0.31730555589464,0.32595
2025-04-24 13:15:00,2.600997126436782,0.2755511110941565,0.32595
2025-04-24 13:30:00,1.658068965517242,0.2443673327128094,0.32595
2025-04-24 13:45:00,2.369939655172414,0.295145667775473,0.32595
2025-04-24 14:00:00,2.272968390804598,0.2005037781609428,0.32504
2025-04-24 14:15:00,2.257120689655173,0.194373333655463,0.32504
2025-04-24 14:30:00,1.990318965517242,0.329034333631727,0.32504
2025-04-24 14:45:00,1.768359195402299,0.3505448883056645,0.32504
2025-04-24 15:00:00,1.630545977011494,0.2561436670939128,0.32572
2025-04-24 15:15:00,1.578864942528736,0.1945708883497453,0.32572
2025-04-24 15:30:00,1.411385057471265,0.3422001114739318,0.32572
2025-04-24 15:45:00,1.168158045977012,0.3193094440036353,0.32572
2025-04-24 16:00:00,0.7932729885057472,0.3608922211541063,0.33037
2025-04-24 16:15:00,0.4271551724137932,0.3094284447564021,0.33037
2025-04-24 16:30:00,0.400382183908046,0.6538600013732929,0.33037
2025-04-24 16:45:00,0.445882183908046,2.370065324317086,0.33037
2025-04-24 17:00:00,0.3289396551724138,3.05586833453708,0.34236
2025-04-24 17:15:00,0.2147701149425287,0.8288786655002157,0.34236
2025-04-24 17:30:00,0.1596867816091954,0.5363173285590284,0.34236
2025-04-24 17:45:00,0.0772816091954023,1.857938889736598,0.34236
2025-04-24 18:00:00,0.0331954022988505,0.4793041113959414,0.34802
2025-04-24 18:15:00,0.015971264367816,0.7665528848436118,0.34802
2025-04-24 18:30:00,0.0085632183908045,0.5365161121792263,0.34802
2025-04-24 18:45:00,0.0,0.9721028875562876,0.34802
2025-04-24 19:00:00,0.0,0.4789628892686631,0.36164
2025-04-24 19:15:00,0.0,0.5332279990302193,0.36164
2025-04-24 19:30:00,0.0,0.555548223198784,0.36164
2025-04-24 19:45:00,0.0,0.5326077786763505,0.36164
2025-04-24 20:00:00,0.0,0.5725677793714734,0.36861
2025-04-24 20:15:00,0.0,0.596690445539687,0.36861
2025-04-24 20:30:00,0.0,0.5262962214999725,0.36861
2025-04-24 20:45:00,0.0,0.97122566579183,0.36861
2025-04-24 21:00:00,0.0,1.094542555745442,0.36148
2025-04-24 21:15:00,0.0,1.0050002210829,0.36148
2025-04-24 21:30:00,0.0,1.038148001098633,0.36148
2025-04-24 21:45:00,0.0,0.5303981117248535,0.36148
2025-04-24 22:00:00,0.0,0.9169861124674488,0.35353
2025-04-24 22:15:00,0.0,0.9621244422064884,0.35353
2025-04-24 22:30:00,0.0,1.027908107672797,0.35353
2025-04-24 22:45:00,0.0,1.114149444410537,0.35353
2025-04-24 23:00:00,0.0,1.062916112263998,0.3401
2025-04-24 23:15:00,0.0,0.7875411124335402,0.3401
2025-04-24 23:30:00,0.0,0.8979675526936851,0.3401
2025-04-24 23:45:00,0.0,0.938271445041233,0.3401
